,id,observation_id,observation,prediction,proba,true_class
0,63,e7ab1073-5193-4ec6-aa07-efb0bc97acbb,"{""observation_id"": ""e7ab1073-5193-4ec6-aa07-efb0bc97acbb"", ""Type"": ""Person search"", ""Date"": ""2022-01-01T01:28:56+00:00"", ""Part of a policing operation"": NaN, ""Latitude"": 51.506255, ""Longitude"": -0.074901, ""Gender"": ""Male"", ""Age range"": ""10-17"", ""Officer-defined ethnicity"": ""Asian"", ""Legislation"": ""Police and Criminal Evidence Act 1984 (section 1)"", ""Object of search"": ""Offensive weapons"", ""station"": ""city-of-london""}",0.0,0.0967733,0
1,66,34b142db-63a2-42ee-89a4-e553051ab933,"{""observation_id"": ""34b142db-63a2-42ee-89a4-e553051ab933"", ""Type"": ""Person search"", ""Date"": ""2022-01-01T02:49:39+00:00"", ""Part of a policing operation"": NaN, ""Latitude"": 51.51768, ""Longitude"": -0.078484, ""Gender"": ""Male"", ""Age range"": ""18-24"", ""Officer-defined ethnicity"": ""White"", ""Legislation"": ""Police and Criminal Evidence Act 1984 (section 1)"", ""Object of search"": ""Offensive weapons"", ""station"": ""city-of-london""}",0.0,0.09499627,0
2,69,af500e60-b8b2-404c-b1e5-25ce9b00556b,"{""observation_id"": ""af500e60-b8b2-404c-b1e5-25ce9b00556b"", ""Type"": ""Person and Vehicle search"", ""Date"": ""2022-01-01T03:31:00+00:00"", ""Part of a policing operation"": NaN, ""Latitude"": 54.774409, ""Longitude"": -1.541479, ""Gender"": ""Male"", ""Age range"": ""25-34"", ""Officer-defined ethnicity"": ""White"", ""Legislation"": ""Police and Criminal Evidence Act 1984 (section 1)"", ""Object of search"": ""Article for use in theft"", ""station"": ""durham""}",0.0,0.1379282,0
3,72,ba106e8c-fb22-42de-a80d-9b0564964c75,"{""observation_id"": ""ba106e8c-fb22-42de-a80d-9b0564964c75"", ""Type"": ""Person search"", ""Date"": ""2022-01-01T04:28:00+00:00"", ""Part of a policing operation"": false, ""Latitude"": 50.625847, ""Longitude"": -3.546839, ""Gender"": ""Male"", ""Age range"": ""25-34"", ""Officer-defined ethnicity"": ""White"", ""Legislation"": ""Misuse of Drugs Act 1971 (section 23)"", ""Object of search"": ""Controlled drugs"", ""station"": ""devon-and-cornwall""}",0.0,0.17926237,0
4,75,9e8783a9-8377-448f-8882-d4b2f352187a,"{""observation_id"": ""9e8783a9-8377-448f-8882-d4b2f352187a"", ""Type"": ""Person search"", ""Date"": ""2022-01-01T05:16:47+00:00"", ""Part of a policing operation"": NaN, ""Latitude"": 51.506255, ""Longitude"": -0.074901, ""Gender"": ""Male"", ""Age range"": ""10-17"", ""Officer-defined ethnicity"": ""Asian"", ""Legislation"": ""Police and Criminal Evidence Act 1984 (section 1)"", ""Object of search"": ""Offensive weapons"", ""station"": ""city-of-london""}",0.0,0.0967733,0
5,78,b5882d71-b142-4ff4-a387-62de28d6bead,"{""observation_id"": ""b5882d71-b142-4ff4-a387-62de28d6bead"", ""Type"": ""Person search"", ""Date"": ""2022-01-01T05:50:23+00:00"", ""Part of a policing operation"": NaN, ""Latitude"": 51.518091, ""Longitude"": -0.078308, ""Gender"": ""Male"", ""Age range"": ""18-24"", ""Officer-defined ethnicity"": ""White"", ""Legislation"": ""Police and Criminal Evidence Act 1984 (section 1)"", ""Object of search"": ""Offensive weapons"", ""station"": ""city-of-london""}",0.0,0.09499627,0
6,81,ef453f2b-b3cb-4dc6-8503-0ebaf84c72ad,"{""observation_id"": ""ef453f2b-b3cb-4dc6-8503-0ebaf84c72ad"", ""Type"": ""Person search"", ""Date"": ""2022-01-01T07:27:56+00:00"", ""Part of a policing operation"": NaN, ""Latitude"": 51.516814, ""Longitude"": -0.08162, ""Gender"": ""Male"", ""Age range"": ""18-24"", ""Officer-defined ethnicity"": ""Asian"", ""Legislation"": ""Police and Criminal Evidence Act 1984 (section 1)"", ""Object of search"": ""Offensive weapons"", ""station"": ""city-of-london""}",0.0,0.062379047,0
7,84,818e267b-99af-440f-8e99-1dfafc285618,"{""observation_id"": ""818e267b-99af-440f-8e99-1dfafc285618"", ""Type"": ""Person search"", ""Date"": ""2022-01-01T13:35:00+00:00"", ""Part of a policing operation"": false, ""Latitude"": NaN, ""Longitude"": NaN, ""Gender"": ""Male"", ""Age range"": ""25-34"", ""Officer-defined ethnicity"": ""White"", ""Legislation"": ""Police and Criminal Evidence Act 1984 (section 1)"", ""Object of search"": ""Offensive weapons"", ""station"": ""nottinghamshire""}",0.0,0.08195001,0
8,87,3ba49efb-19b9-4d23-bdda-99fb86d7cba4,"{""observation_id"": ""3ba49efb-19b9-4d23-bdda-99fb86d7cba4"", ""Type"": ""Person search"", ""Date"": ""2022-01-01T18:55:00+00:00"", ""Part of a policing operation"": false, ""Latitude"": 51.875599, ""Longitude"": -0.43781, ""Gender"": ""Male"", ""Age range"": ""10-17"", ""Officer-defined ethnicity"": ""White"", ""Legislation"": ""Police and Criminal Evidence Act 1984 (section 1)"", ""Object of search"": ""Offensive weapons"", ""station"": ""bedfordshire""}",0.0,0.0910459,0
9,90,1c6db03d-fd91-49f9-be1b-15885c095a47,"{""observation_id"": ""1c6db03d-fd91-49f9-be1b-15885c095a47"", ""Type"": ""Person search"", ""Date"": ""2022-01-01T21:15:00+00:00"", ""Part of a policing operation"": false, ""Latitude"": 51.89663, ""Longitude"": -0.447284, ""Gender"": ""Male"", ""Age range"": ""25-34"", ""Officer-defined ethnicity"": ""Asian"", ""Legislation"": ""Misuse of Drugs Act 1971 (section 23)"", ""Object of search"": ""Controlled drugs"", ""station"": ""bedfordshire""}",0.0,0.20359811,1
